0.4;0.29;0.1;0.2675;0.1205;0.0605;0.0765;5
0.405;0.285;0.09;0.2645;0.1265;0.0505;0.075;6
0.41;0.335;0.11;0.33;0.157;0.0705;0.17;7
0.42;0.305;0.09;0.328;0.168;0.0615;0.082;6
0.425;0.325;0.11;0.3335;0.173;0.045;0.1;7
0.425;0.32;0.1;0.3055;0.126;0.06;0.106;7
0.425;0.31;0.09;0.301;0.1385;0.065;0.08;7
0.43;0.34;0;0.428;0.2065;0.086;0.115;8
0.43;0.315;0.095;0.378;0.175;0.08;0.1045;8
0.435;0.315;0.11;0.3685;0.1615;0.0715;0.12;7
0.44;0.34;0.12;0.438;0.2115;0.083;0.12;9
0.45;0.33;0.105;0.448;0.208;0.089;0.12;9
0.455;0.345;0.105;0.4005;0.164;0.0755;0.126;8
0.455;0.365;0.115;0.4305;0.184;0.108;0.1245;8
0.455;0.33;0.1;0.372;0.358;0.0775;0.11;8
0.46;0.36;0.105;0.466;0.2225;0.099;0.11;7
0.46;0.35;0.105;0.3705;0.1575;0.077;0.114;9
0.46;0.365;0.125;0.4785;0.206;0.1045;0.141;8
0.465;0.34;0.11;0.346;0.1425;0.073;0.113;11
0.47;0.365;0.1;0.411;0.175;0.0855;0.135;8
0.47;0.355;0.18;0.48;0.2055;0.105;0.1505;8
0.47;0.355;0.12;0.393;0.167;0.0885;0.115;8
0.475;0.355;0.1;0.5035;0.2535;0.091;0.14;8
0.475;0.38;0.12;0.441;0.1785;0.0885;0.1505;8
0.475;0.36;0.11;0.492;0.211;0.11;0.15;8
0.48;0.37;0.125;0.5435;0.244;0.101;0.165;9
0.48;0.355;0.115;0.4725;0.2065;0.112;0.132;8
0.48;0.365;0.1;0.461;0.2205;0.0835;0.135;8
0.495;0.355;0.12;0.4965;0.214;0.1045;0.1495;8
0.495;0.38;0.13;0.5125;0.2185;0.116;0.16;7
0.495;0.395;0.12;0.553;0.224;0.1375;0.167;8
0.5;0.38;0.135;0.594;0.2945;0.104;0.1565;9
0.5;0.42;0.135;0.6765;0.302;0.1415;0.2065;9
0.5;0.375;0.145;0.5795;0.239;0.1375;0.185;9
0.5;0.41;0.14;0.6615;0.2585;0.1625;0.196;9
0.5;0.375;0.125;0.5695;0.259;0.124;0.157;7
0.5;0.395;0.14;0.6215;0.2925;0.1205;0.195;9
0.505;0.405;0.13;0.6015;0.3015;0.11;0.18;8
0.505;0.38;0.12;0.594;0.2595;0.1435;0.18;7
0.505;0.395;0.105;0.551;0.248;0.103;0.171;8
0.515;0.38;0.12;0.625;0.3265;0.1295;0.16;7
0.515;0.42;0.135;0.711;0.337;0.144;0.205;13
0.515;0.4;0.135;0.6965;0.32;0.1255;0.175;9
0.52;0.4;0.13;0.5825;0.233;0.1365;0.18;10
0.52;0.395;0.125;0.663;0.3005;0.131;0.1905;9
0.525;0.4;0.125;0.6965;0.369;0.1385;0.164;9
0.525;0.42;0.155;0.842;0.428;0.1415;0.2045;9
0.53;0.415;0.13;0.694;0.3905;0.111;0.167;9
0.53;0.42;0.155;0.81;0.4725;0.111;0.192;10
0.53;0.415;0.11;0.5745;0.2525;0.1235;0.189;9
0.53;0.425;0.13;0.7675;0.419;0.1205;0.21;9
0.535;0.4;0.135;0.6025;0.2895;0.121;0.154;9
0.535;0.415;0.15;0.5765;0.3595;0.135;0.225;8
0.535;0.41;0.13;0.7145;0.335;0.144;0.2075;9
0.535;0.435;0.15;0.717;0.3475;0.1445;0.194;9
0.54;0.42;0.145;0.8655;0.4315;0.163;0.2175;10
0.54;0.42;0.14;0.7265;0.3205;0.1445;0.229;9
0.545;0.435;0.135;0.7715;0.372;0.148;0.227;8
0.545;0.445;0.15;0.8;0.3535;0.163;0.207;9
0.545;0.43;0.15;0.7285;0.302;0.1315;0.2545;10
0.545;0.405;0.135;0.5945;0.27;0.1185;0.185;8
0.55;0.43;0.145;0.7895;0.3745;0.171;0.223;11
0.55;0.405;0.125;0.651;0.2965;0.137;0.2;9
0.55;0.43;0.15;0.8745;0.413;0.1905;0.248;9
0.55;0.435;0.14;0.7535;0.3285;0.1555;0.2325;10
0.55;0.425;0.135;0.7305;0.3325;0.1545;0.215;9
0.555;0.44;0.14;0.8705;0.407;0.156;0.255;9
0.555;0.43;0.155;0.7395;0.3135;0.1435;0.28;10
0.555;0.43;0.14;0.7665;0.341;0.165;0.23;9
0.555;0.425;0.145;0.7905;0.3485;0.1765;0.225;9
0.56;0.425;0.135;0.8205;0.3715;0.185;0.236;9
